year,month,type,law,vehicle_type,method,count
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,汽車,逕舉,0
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,汽車,攔停,0
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,重型機車(250CC以上),逕舉,0
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,重型機車(250CC以上),攔停,0
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,機車,逕舉,0
104,1,駕車吸菸致影響他人行車安全,31條之1第3項,機車,攔停,0
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,汽車,逕舉,0
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,汽車,攔停,10
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,重型機車(250CC以上),逕舉,0
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,重型機車(250CC以上),攔停,0
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,機車,逕舉,0
104,1,肇事無人傷亡未依規定處理而逃逸者,62條第1項,機車,攔停,5
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,汽車,逕舉,0
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,汽車,攔停,2
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,重型機車(250CC以上),逕舉,0
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,重型機車(250CC以上),攔停,0
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,機車,逕舉,0
104,1,肇事無人傷亡不將車輛移置路邊,62條第2項,機車,攔停,0
104,1,肇事致人傷亡而逃逸者,62條第4項,汽車,逕舉,0
104,1,肇事致人傷亡而逃逸者,62條第4項,汽車,攔停,9
104,1,肇事致人傷亡而逃逸者,62條第4項,重型機車(250CC以上),逕舉,0
104,1,肇事致人傷亡而逃逸者,62條第4項,重型機車(250CC以上),攔停,0
104,1,肇事致人傷亡而逃逸者,62條第4項,機車,逕舉,0
104,1,肇事致人傷亡而逃逸者,62條第4項,機車,攔停,2
104,1,肇事致人死傷未依規定處置,62條第3項,汽車,逕舉,0
104,1,肇事致人死傷未依規定處置,62條第3項,汽車,攔停,1
104,1,肇事致人死傷未依規定處置,62條第3項,重型機車(250CC以上),逕舉,0
104,1,肇事致人死傷未依規定處置,62條第3項,重型機車(250CC以上),攔停,0
104,1,肇事致人死傷未依規定處置,62條第3項,機車,逕舉,0
104,1,肇事致人死傷未依規定處置,62條第3項,機車,攔停,1
104,1,慢車證照未隨身攜帶,71條,汽車,逕舉,0
104,1,慢車證照未隨身攜帶,71條,汽車,攔停,0
104,1,慢車證照未隨身攜帶,71條,重型機車(250CC以上),逕舉,0
104,1,慢車證照未隨身攜帶,71條,重型機車(250CC以上),攔停,0
104,1,慢車證照未隨身攜帶,71條,機車,逕舉,0
104,1,慢車證照未隨身攜帶,71條,機車,攔停,0
104,1,慢車闖平交道,75條,汽車,逕舉,0
104,1,慢車闖平交道,75條,汽車,攔停,0
104,1,慢車闖平交道,75條,重型機車(250CC以上),逕舉,0
104,1,慢車闖平交道,75條,重型機車(250CC以上),攔停,0
104,1,慢車闖平交道,75條,機車,逕舉,0
104,1,慢車闖平交道,75條,機車,攔停,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,汽車,逕舉,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,汽車,攔停,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,重型機車(250CC以上),逕舉,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,重型機車(250CC以上),攔停,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,機車,逕舉,0
104,1,慢車擅自變更裝置或不依規定保持煞車鈴號燈,72條,機車,攔停,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,汽車,逕舉,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,汽車,攔停,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,重型機車(250CC以上),逕舉,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,重型機車(250CC以上),攔停,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,機車,逕舉,0
104,1,慢車聞消防車警備車救護車工程救險車警號不立即避讓,74條第6款,機車,攔停,0
104,1,慢車載運客貨違規,76條第1~6款,汽車,逕舉,0
104,1,慢車載運客貨違規,76條第1~6款,汽車,攔停,0
104,1,慢車載運客貨違規,76條第1~6款,重型機車(250CC以上),逕舉,0
104,1,慢車載運客貨違規,76條第1~6款,重型機車(250CC以上),攔停,0
104,1,慢車載運客貨違規,76條第1~6款,機車,逕舉,0
104,1,慢車載運客貨違規,76條第1~6款,機車,攔停,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,汽車,逕舉,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,汽車,攔停,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,重型機車(250CC以上),逕舉,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,重型機車(250CC以上),攔停,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,機車,逕舉,0
104,1,慢車牽引其他車輛或攀附汽車隨行,76條第7款,機車,攔停,0
104,1,慢車酒駕濃度超過規定標準,73條第7款,汽車,逕舉,0
104,1,慢車酒駕濃度超過規定標準,73條第7款,汽車,攔停,8
104,1,慢車酒駕濃度超過規定標準,73條第7款,重型機車(250CC以上),逕舉,0
104,1,慢車酒駕濃度超過規定標準,73條第7款,重型機車(250CC以上),攔停,0
104,1,慢車酒駕濃度超過規定標準,73條第7款,機車,逕舉,0
104,1,慢車酒駕濃度超過規定標準,73條第7款,機車,攔停,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,汽車,逕舉,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,汽車,攔停,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,重型機車(250CC以上),逕舉,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,重型機車(250CC以上),攔停,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,機車,逕舉,0
104,1,慢車於允許通行之人行道上未讓行人優先通行,74條第8款,機車,攔停,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,汽車,逕舉,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,汽車,攔停,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,重型機車(250CC以上),逕舉,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,重型機車(250CC以上),攔停,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,機車,逕舉,0
104,1,慢車拒絕酒精濃度檢測,73條第2項,機車,攔停,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,汽車,逕舉,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,汽車,攔停,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,重型機車(250CC以上),逕舉,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,重型機車(250CC以上),攔停,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,機車,逕舉,0
104,1,慢車行駛道路手持使用行動電話或其他相類功能裝置,73條第6款,機車,攔停,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,汽車,逕舉,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,汽車,攔停,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,重型機車(250CC以上),逕舉,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,重型機車(250CC以上),攔停,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,機車,逕舉,0
104,1,慢車行經行人穿越道或交岔路口彎不讓行人優先通行,74條第7款,機車,攔停,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,汽車,逕舉,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,汽車,攔停,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,重型機車(250CC以上),逕舉,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,重型機車(250CC以上),攔停,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,機車,逕舉,0
104,1,慢車在道路上爭先爭道或其他危險方式駕車,73條第4款,機車,攔停,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,汽車,逕舉,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,汽車,攔停,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,重型機車(250CC以上),逕舉,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,重型機車(250CC以上),攔停,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,機車,逕舉,0
104,1,慢車在夜間行車未開啟燈光,73條第5款,機車,攔停,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,汽車,逕舉,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,汽車,攔停,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,重型機車(250CC以上),逕舉,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,重型機車(250CC以上),攔停,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,機車,逕舉,0
104,1,慢車在同一慢車道上不按遵行方向行駛,74條第2款,機車,攔停,0
104,1,慢車在人行道或快車道行駛,74條第5款,汽車,逕舉,0
104,1,慢車在人行道或快車道行駛,74條第5款,汽車,攔停,0
104,1,慢車在人行道或快車道行駛,74條第5款,重型機車(250CC以上),逕舉,0
104,1,慢車在人行道或快車道行駛,74條第5款,重型機車(250CC以上),攔停,0
104,1,慢車在人行道或快車道行駛,74條第5款,機車,逕舉,0
104,1,慢車在人行道或快車道行駛,74條第5款,機車,攔停,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,汽車,逕舉,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,汽車,攔停,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,重型機車(250CC以上),逕舉,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,重型機車(250CC以上),攔停,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,機車,逕舉,0
104,1,慢車不服從警察指揮或不依標誌標線號誌之指示,74條第1款,機車,攔停,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,汽車,逕舉,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,汽車,攔停,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,重型機車(250CC以上),逕舉,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,重型機車(250CC以上),攔停,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,機車,逕舉,0
104,1,慢車不依規定轉彎超車停車或通過交叉路口,73條第3款,機車,攔停,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,汽車,逕舉,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,汽車,攔停,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,重型機車(250CC以上),逕舉,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,重型機車(250CC以上),攔停,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,機車,逕舉,0
104,1,慢車不依規定擅自穿越快車道,74條第3款,機車,攔停,0
104,1,慢車不依規定停放車輛,74條第4款,汽車,逕舉,0
104,1,慢車不依規定停放車輛,74條第4款,汽車,攔停,0
104,1,慢車不依規定停放車輛,74條第4款,重型機車(250CC以上),逕舉,0
104,1,慢車不依規定停放車輛,74條第4款,重型機車(250CC以上),攔停,0
104,1,慢車不依規定停放車輛,74條第4款,機車,逕舉,0
104,1,慢車不依規定停放車輛,74條第4款,機車,攔停,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,汽車,逕舉,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,汽車,攔停,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,重型機車(250CC以上),逕舉,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,重型機車(250CC以上),攔停,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,機車,逕舉,0
104,1,慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛,73條第1款,機車,攔停,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,汽車,逕舉,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,汽車,攔停,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,重型機車(250CC以上),逕舉,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,重型機車(250CC以上),攔停,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,機車,逕舉,0
104,1,慢車不在規定之地區路線或時間內行駛,73條第2款,機車,攔停,0
104,1,違規臨時停車,55條,汽車,逕舉,0
104,1,違規臨時停車,55條,汽車,攔停,479
104,1,違規臨時停車,55條,重型機車(250CC以上),逕舉,0
104,1,違規臨時停車,55條,重型機車(250CC以上),攔停,0
104,1,違規臨時停車,55條,機車,逕舉,0
104,1,違規臨時停車,55條,機車,攔停,22
104,1,違規停車拖吊,56條第3項,汽車,逕舉,4700
104,1,違規停車拖吊,56條第3項,汽車,攔停,0
104,1,違規停車拖吊,56條第3項,重型機車(250CC以上),逕舉,3
104,1,違規停車拖吊,56條第3項,重型機車(250CC以上),攔停,0
104,1,違規停車拖吊,56條第3項,機車,逕舉,5368
104,1,違規停車拖吊,56條第3項,機車,攔停,0
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,汽車,逕舉,8724
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,汽車,攔停,97
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,重型機車(250CC以上),逕舉,5
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,重型機車(250CC以上),攔停,0
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,機車,逕舉,7331
104,1,違規停車,56條第1項第1.2.3.4.5.6.7.8款,機車,攔停,13
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,汽車,逕舉,4
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,汽車,攔停,16
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,重型機車(250CC以上),逕舉,0
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,重型機車(250CC以上),攔停,0
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,機車,逕舉,1
104,1,違規車輛移置保管,35條.12條3項.57條2項.62條6項85條之2,機車,攔停,46
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,汽車,逕舉,0
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,汽車,攔停,0
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,重型機車(250CC以上),逕舉,0
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,重型機車(250CC以上),攔停,0
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,機車,逕舉,0
104,1,違反道安規則管制規則肇事致人受傷,61條第3項,機車,攔停,0
104,1,違反高快速公路管制規定,33條92條,汽車,逕舉,182
104,1,違反高快速公路管制規定,33條92條,汽車,攔停,0
104,1,違反高快速公路管制規定,33條92條,重型機車(250CC以上),逕舉,2
104,1,違反高快速公路管制規定,33條92條,重型機車(250CC以上),攔停,1
104,1,違反高快速公路管制規定,33條92條,機車,逕舉,2
104,1,違反高快速公路管制規定,33條92條,機車,攔停,0
104,1,載運客貨違反規定,30條,汽車,逕舉,0
104,1,載運客貨違反規定,30條,汽車,攔停,8
104,1,載運客貨違反規定,30條,重型機車(250CC以上),逕舉,0
104,1,載運客貨違反規定,30條,重型機車(250CC以上),攔停,0
104,1,載運客貨違反規定,30條,機車,逕舉,0
104,1,載運客貨違反規定,30條,機車,攔停,0
104,1,路口淨空,58條第3款,汽車,逕舉,0
104,1,路口淨空,58條第3款,汽車,攔停,0
104,1,路口淨空,58條第3款,重型機車(250CC以上),逕舉,0
104,1,路口淨空,58條第3款,重型機車(250CC以上),攔停,0
104,1,路口淨空,58條第3款,機車,逕舉,0
104,1,路口淨空,58條第3款,機車,攔停,0
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,汽車,逕舉,0
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,汽車,攔停,127
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,重型機車(250CC以上),逕舉,0
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,重型機車(250CC以上),攔停,0
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,機車,逕舉,0
104,1,裝載超過核定之總重量總聯結重量者,29條之2第3項,機車,攔停,0
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,汽車,逕舉,0
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,汽車,攔停,3
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,重型機車(250CC以上),逕舉,0
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,重型機車(250CC以上),攔停,0
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,機車,逕舉,0
104,1,裝載砂石土方未依規定使用專用車輛,29條之1,機車,攔停,0
104,1,裝載不合規定,29條,汽車,逕舉,0
104,1,裝載不合規定,29條,汽車,攔停,417
104,1,裝載不合規定,29條,重型機車(250CC以上),逕舉,0
104,1,裝載不合規定,29條,重型機車(250CC以上),攔停,0
104,1,裝載不合規定,29條,機車,逕舉,0
104,1,裝載不合規定,29條,機車,攔停,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,汽車,逕舉,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,汽車,攔停,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,重型機車(250CC以上),逕舉,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,重型機車(250CC以上),攔停,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,機車,逕舉,0
104,1,號牌遺失經舉發後不報請補發仍行駛,12條第1項第10款,機車,攔停,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,汽車,逕舉,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,汽車,攔停,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,重型機車(250CC以上),逕舉,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,重型機車(250CC以上),攔停,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,機車,逕舉,0
104,1,損毀或變造牌照致不能辨認牌號,13條第1項第1款,機車,攔停,8
104,1,越級駕駛,22條,汽車,逕舉,0
104,1,越級駕駛,22條,汽車,攔停,1
104,1,越級駕駛,22條,重型機車(250CC以上),逕舉,0
104,1,越級駕駛,22條,重型機車(250CC以上),攔停,0
104,1,越級駕駛,22條,機車,逕舉,0
104,1,越級駕駛,22條,機車,攔停,37
104,1,牌照遺失或破損不報請補發,14條第1款,汽車,逕舉,0
104,1,牌照遺失或破損不報請補發,14條第1款,汽車,攔停,0
104,1,牌照遺失或破損不報請補發,14條第1款,重型機車(250CC以上),逕舉,0
104,1,牌照遺失或破損不報請補發,14條第1款,重型機車(250CC以上),攔停,0
104,1,牌照遺失或破損不報請補發,14條第1款,機車,逕舉,0
104,1,牌照遺失或破損不報請補發,14條第1款,機車,攔停,0
104,1,報廢汽車仍行駛,12條第1項第9款,汽車,逕舉,0
104,1,報廢汽車仍行駛,12條第1項第9款,汽車,攔停,0
104,1,報廢汽車仍行駛,12條第1項第9款,重型機車(250CC以上),逕舉,0
104,1,報廢汽車仍行駛,12條第1項第9款,重型機車(250CC以上),攔停,0
104,1,報廢汽車仍行駛,12條第1項第9款,機車,逕舉,0
104,1,報廢汽車仍行駛,12條第1項第9款,機車,攔停,2
104,1,設備不全或損壞不予修復,16條第1項第2款,汽車,逕舉,0
104,1,設備不全或損壞不予修復,16條第1項第2款,汽車,攔停,0
104,1,設備不全或損壞不予修復,16條第1項第2款,重型機車(250CC以上),逕舉,0
104,1,設備不全或損壞不予修復,16條第1項第2款,重型機車(250CC以上),攔停,0
104,1,設備不全或損壞不予修復,16條第1項第2款,機車,逕舉,3
104,1,設備不全或損壞不予修復,16條第1項第2款,機車,攔停,8
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,汽車,逕舉,0
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,汽車,攔停,0
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,重型機車(250CC以上),逕舉,0
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,重型機車(250CC以上),攔停,0
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,機車,逕舉,0
104,1,設有劃分島在慢車道右轉彎或在快車道左轉彎,48條第1項第5款,機車,攔停,0
104,1,蛇行或危險駕車,43條第1項第1款,汽車,逕舉,0
104,1,蛇行或危險駕車,43條第1項第1款,汽車,攔停,0
104,1,蛇行或危險駕車,43條第1項第1款,重型機車(250CC以上),逕舉,0
104,1,蛇行或危險駕車,43條第1項第1款,重型機車(250CC以上),攔停,0
104,1,蛇行或危險駕車,43條第1項第1款,機車,逕舉,0
104,1,蛇行或危險駕車,43條第1項第1款,機車,攔停,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,汽車,逕舉,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,汽車,攔停,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,重型機車(250CC以上),逕舉,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,重型機車(250CC以上),攔停,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,機車,逕舉,0
104,1,強制移由醫療或檢驗機構採樣測定等,35條第5項,機車,攔停,0
104,1,執業登記證未依規定安置等,36條第5項,汽車,逕舉,0
104,1,執業登記證未依規定安置等,36條第5項,汽車,攔停,0
104,1,執業登記證未依規定安置等,36條第5項,重型機車(250CC以上),逕舉,0
104,1,執業登記證未依規定安置等,36條第5項,重型機車(250CC以上),攔停,0
104,1,執業登記證未依規定安置等,36條第5項,機車,逕舉,0
104,1,執業登記證未依規定安置等,36條第5項,機車,攔停,0
104,1,動力機械未請領臨時通行證,32條第1項,汽車,逕舉,0
104,1,動力機械未請領臨時通行證,32條第1項,汽車,攔停,0
104,1,動力機械未請領臨時通行證,32條第1項,重型機車(250CC以上),逕舉,0
104,1,動力機械未請領臨時通行證,32條第1項,重型機車(250CC以上),攔停,0
104,1,動力機械未請領臨時通行證,32條第1項,機車,逕舉,0
104,1,動力機械未請領臨時通行證,32條第1項,機車,攔停,0
104,1,停車時間位置方式車種不依規定,56條第1項第9款,汽車,逕舉,613
104,1,停車時間位置方式車種不依規定,56條第1項第9款,汽車,攔停,10
104,1,停車時間位置方式車種不依規定,56條第1項第9款,重型機車(250CC以上),逕舉,0
104,1,停車時間位置方式車種不依規定,56條第1項第9款,重型機車(250CC以上),攔停,0
104,1,停車時間位置方式車種不依規定,56條第1項第9款,機車,逕舉,576
